Year,Forecasted_Failures,Forecasted_Costs,Cumulative_Failures,Cumulative_Costs
2025,52.38219245880327,9958365.778918285,52.38219245880327,9958365.778918285
2026,47.43088228560497,7848327.137415941,99.81307474440824,17806692.916334227
2027,47.66225782843809,9384448.687132834,147.47533257284633,27191141.603467062
2028,49.6920002831171,11201449.069430089,197.16733285596342,38392590.67289715
2029,58.92832841356727,18728573.314032417,256.0956612695307,57121163.986929566
2030,74.04517207645468,28113378.10567539,330.14083334598536,85234542.09260496
2031,86.45884877027424,33146701.78363511,416.5996821162596,118381243.87624007
2032,89.59366279369823,36853700.58775002,506.19334490995783,155234944.4639901
2033,92.24059830058872,34922726.72257936,598.4339432105465,190157671.18656945
2034,85.73991106871127,30203195.594894726,684.1738542792579,220360866.7814642
2035,85.73991106871127,30203195.594894726,769.9137653479692,250564062.37635893
