Year,Days,Reliability,Failure_Probability,Hazard_Rate
1,365,0.48927300237704574,0.5107269976229543,
2,730,0.29477623990114304,0.7052237600988569,
3,1095,0.1880209126939292,0.8119790873060708,
4,1460,0.12400723651011268,0.8759927634898873,
5,1825,0.08370956961641564,0.9162904303835844,
6,2190,0.05750872993621772,0.9424912700637823,
7,2555,0.04006601304821171,0.9599339869517883,
8,2920,0.02823873138393717,0.9717612686160628,
9,3285,0.020099098907946752,0.9799009010920533,
10,3650,0.014427597566130997,0.985572402433869,
